Snippet,(Accessible),(Accessible: ./weka/gui/experiment/GeneratorPropertyIteratorPanel.java:85:),(ArithmeticCastRange),(ArithmeticOperationRange),(Assert),(Assignable),(Assignable: ./weka/gui/experiment/GeneratorPropertyIteratorPanel.java:85:),(ExceptionList: /home/kgdesilva/openjml/specs/java/util/Iterator.jml:84:),(ExceptionalPostcondition: /home/kgdesilva/openjml/specs/java/util/Iterator.jml:62:),(ExceptionalPostcondition: /home/kgdesilva/openjml/specs/java/util/Iterator.jml:75:),(InvariantEntrance: /home/kgdesilva/openjml/specs/java/io/File.jml:23:),(InvariantEntrance: /home/kgdesilva/openjml/specs/java/io/File.jml:24:),(InvariantEntrance: /home/kgdesilva/openjml/specs/java/io/PrintStream.jml:35:),(InvariantEntrance: /home/kgdesilva/openjml/specs/java/io/PrintStream.jml:42:),(InvariantEntrance: /home/kgdesilva/openjml/specs/java/lang/CharSequence.jml:30:),(InvariantEntrance: /home/kgdesilva/openjml/specs/java/lang/Iterable.jml:10:),(InvariantExceptionExit: /home/kgdesilva/openjml/specs/java/lang/CharSequence.jml:30:),(InvariantExceptionExit: /home/kgdesilva/openjml/specs/java/nio/Buffer.jml:22:),(InvariantExceptionExit: /home/kgdesilva/openjml/specs/java/nio/Buffer.jml:23:),(InvariantExceptionExit: /home/kgdesilva/openjml/specs/java/nio/Buffer.jml:24:),(InvariantExceptionExit: /home/kgdesilva/openjml/specs/java/nio/Buffer.jml:25:),(InvariantExceptionExit: /home/kgdesilva/openjml/specs/java/nio/ByteBuffer.jml:13:),(InvariantExit: /home/kgdesilva/openjml/specs/java/lang/CharSequence.jml:30:),(InvariantExit: /home/kgdesilva/openjml/specs/java/nio/Buffer.jml:22:),(InvariantExit: /home/kgdesilva/openjml/specs/java/nio/Buffer.jml:23:),(InvariantExit: /home/kgdesilva/openjml/specs/java/nio/Buffer.jml:24:),(InvariantExit: /home/kgdesilva/openjml/specs/java/nio/Buffer.jml:25:),(InvariantExit: /home/kgdesilva/openjml/specs/java/nio/ByteBuffer.jml:13:),(InvariantLeaveCaller: /home/kgdesilva/openjml/specs/java/io/PrintStream.jml:35:),(InvariantLeaveCaller: /home/kgdesilva/openjml/specs/java/io/PrintStream.jml:42:),(InvariantLeaveCaller: /home/kgdesilva/openjml/specs/java/lang/CharSequence.jml:30:),(InvariantLeaveCaller: /home/kgdesilva/openjml/specs/java/lang/Iterable.jml:10:),(NullFormal: ./ArgoUML.java:345:),(NullFormal: ./ArgoUML.java:519:),(NullFormal: ./ArgoUML.java:645:),(NullFormal: ./ArgoUML.java:673:),(NullFormal: ./ArgoUML.java:674:),(NullFormal: ./CarReport.java:371:),(NullFormal: ./CarReport.java:54:),(NullFormal: ./HibernateORM.java:411:),(NullFormal: ./K9.java:395:),(NullFormal: ./MyExpenses.java:673:),(NullFormal: ./OpenCMSCore.java:599:),(NullFormal: ./Phoenix.java:345:),(NullFormal: ./Phoenix.java:456:),(NullFormal: ./Pom.java:521:),(NullFormal: ./Siena.java:624:),(NullFormal: ./weka/gui/experiment/GeneratorPropertyIteratorPanel.java:132:),(NullFormal: /home/kgdesilva/openjml/specs/java/io/File.jml:29:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_1.java:1265:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_1.java:943:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1315:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1338:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1346:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1401:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1550:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1575:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1651:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1680:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1712:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1767:),(NullFormal: cog_complexity_validation_datasets/Three/Tasks_2.java:1828:),(PossiblyBadArrayAssignment),(PossiblyBadCast),(PossiblyDivideByZero),(PossiblyNegativeIndex),(PossiblyNegativeSize),(PossiblyNullAssignment),(PossiblyNullDeReference),(PossiblyNullInitialization),(PossiblyNullReturn: ./ArgoUML.java:430:),(PossiblyNullReturn: ./MyExpenses.java:168:),(PossiblyNullReturn: ./Pom.java:111:),(PossiblyNullReturn: ./SpringBatch.java:199:),(PossiblyNullReturn: cog_complexity_validation_datasets/Three/Tasks_1.java:546:),(PossiblyNullReturn: cog_complexity_validation_datasets/Three/Tasks_2.java:691:),(PossiblyNullReturn: fMRI_Study_Classes/YesNo.java:10:),(PossiblyTooLargeIndex),(Postcondition: /home/kgdesilva/openjml/specs/java/lang/Object.jml:69:),(Postcondition: /home/kgdesilva/openjml/specs/java/util/Iterator.jml:64:),(Precondition: ./CarReport.java:54:),(Precondition: ./CodeSnippets.java:1703:),(Precondition: /home/kgdesilva/openjml/specs/java/lang/Math.jml:264:),(Precondition: /home/kgdesilva/openjml/specs/java/lang/Object.jml:92:),(Precondition: /home/kgdesilva/openjml/specs/java/lang/System.jml:312:),(Precondition: /home/kgdesilva/openjml/specs/java/lang/Throwable.jml:198:),(Precondition: /home/kgdesilva/openjml/specs/java/util/Collection.jml:224:),(Precondition: /home/kgdesilva/openjml/specs/java/util/Vector.jml:242:),(UndefinedCalledMethodPrecondition: /home/kgdesilva/openjml/specs/java/lang/Object.jml:206:),(UndefinedCalledMethodPrecondition: /home/kgdesilva/openjml/specs/java/lang/String.jml:447:),timeout
3 -- 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,
3 -- 22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 27,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 3,,,,2.0,,,,,,,,,,,2.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 31,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 32,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
3 -- 47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
