Snippet,[accessing.nullable] accessing a possibly-null array previousRoomPoint,[argument] incompatible argument for parameter arg0 of add.,[argument] incompatible argument for parameter arg1 of arraycopy.,[argument] incompatible argument for parameter arg3 of arraycopy.,[argument] incompatible argument for parameter arg4 of arraycopy.,[argument] incompatible argument for parameter at of getPathIterator.,[argument] incompatible argument for parameter beginIndex of substring.,[argument] incompatible argument for parameter c of process.,[argument] incompatible argument for parameter cell of addCell.,[argument] incompatible argument for parameter date of suspendedSince.,[argument] incompatible argument for parameter element of getChildElementContent.,[argument] incompatible argument for parameter end of substring.,[argument] incompatible argument for parameter endIndex of substring.,[argument] incompatible argument for parameter foo of assertEquals.,[argument] incompatible argument for parameter index of charAt.,[argument] incompatible argument for parameter info of fillModel.,[argument] incompatible argument for parameter initargs of newInstance.,[argument] incompatible argument for parameter name of loadClass.,[argument] incompatible argument for parameter node of computeBounds.,[argument] incompatible argument for parameter node of setBackFaceNormalFlip.,[argument] incompatible argument for parameter o of MetaDataMutationResult.,[argument] incompatible argument for parameter o of Tasks_2.,[argument] incompatible argument for parameter o of convertPoint.,[argument] incompatible argument for parameter o of defaultButtonHtml.,[argument] incompatible argument for parameter o of getKeyForSchema.,[argument] incompatible argument for parameter o of invoke.,[argument] incompatible argument for parameter o of setValue.,[argument] incompatible argument for parameter o of startTaskExecution.,[argument] incompatible argument for parameter oAuth2TokenProvider of ImapStore.,[argument] incompatible argument for parameter obj of getShort.,[argument] incompatible argument for parameter ownerKey of toLoggableString.,[argument] incompatible argument for parameter p of process.,[argument] incompatible argument for parameter selectionValues of showInputDialog.,[argument] incompatible argument for parameter w of setFullScreenWindow.,[argument] incompatible argument for parameter xEnd of setXEnd.,[argument] incompatible argument for parameter yEnd of setYEnd.,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 0 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 1 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 2 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 3 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 4 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 5 could be larger than the array's bound,[array.access.unsafe.high.range] Potentially unsafe array access: the index could be larger than the array's bound,[array.access.unsafe.high] Potentially unsafe array access: the index could be larger than the array's bound,[array.access.unsafe.low] Potentially unsafe array access: the index could be negative.,[array.length.negative] Variable used in array creation could be negative.,[assignment] incompatible types in assignment.,[dereference.of.nullable] dereference of possibly-null reference cl,[dereference.of.nullable] dereference of possibly-null reference cmdLine,[dereference.of.nullable] dereference of possibly-null reference macroCommand,[dereference.of.nullable] dereference of possibly-null reference obj,[dereference.of.nullable] dereference of possibly-null reference transaction,[format.string] invalid format string (is a @Format annotation missing?),[initialization.field.uninitialized] the default constructor does not initialize field next,[initialization.fields.uninitialized] the constructor does not initialize fields: localizibleDescription,"[method.invocation] call to putValue(java.lang.Object,java.lang.Object) not allowed on the given receiver.",[method.invocation] call to setLocalizibleDescription(Pom.Localizable) not allowed on the given receiver.,[not.interned] attempting to use a non-@Interned comparison operand,[override.param] Incompatible parameter type for obj.,[removal] Boolean(boolean) in Boolean has been deprecated and marked for removal,[removal] Double(double) in Double has been deprecated and marked for removal,[removal] Integer(int) in Integer has been deprecated and marked for removal,[required.method.not.called] @MustCall method close may not have been invoked on s or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on serverSocket or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on stream or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-111 or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-347 or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-801 or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-956 or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-959 or any of its aliases.,[return] incompatible types in return.,[unboxing.of.nullable] unboxing a possibly-null reference killsTeam.get(killer)
6 -- 1 -- MyExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 1 -- Phoenix,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 1 -- Pom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
6 -- 2 -- Antlr4Master,,,,,,,,2.0,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 2 -- K9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 2 -- MyExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
6 -- 2 -- Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 3 -- Antlr4Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
6 -- 3 -- CarReport,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 3 -- HibernateORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 3 -- OpenCMSCore,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
6 -- 3 -- Pom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 3 -- SpringBatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
6 -- 4 -- Antlr4Master,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 4 -- CarReport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 4 -- MyExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,1.0,
6 -- 4 -- Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
6 -- 4 -- Pom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
6 -- 4 -- SpringBatch,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
6 -- 5 -- HibernateORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 5 -- OpenCMSCore,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 5 -- Phoenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
63 -- 1 -- MegaMek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
63 -- 1 -- Siena1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 1 -- Siena2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
63 -- 1 -- SweetHome3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
63 -- 10 -- ArgoUML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 10 -- MegaMek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 10 -- SweetHome3D,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 11 -- MegaMek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 12 -- ArgoUML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
63 -- 13 -- MegaMek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
63 -- 15 -- ArgoUML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
63 -- 16 -- ArgoUML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
63 -- 2 -- ATunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
63 -- 2 -- SweetHome3D,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 3 -- ATunes,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 3 -- Siena2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
63 -- 4 -- MegaMek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,
63 -- 4 -- Siena2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
63 -- 4 -- SweetHome3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 5 -- SweetHome3D,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 6 -- ATunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 -- 7 -- ArgoUML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
63 -- 7 -- Siena2,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
63 -- 7 -- SweetHome3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
63 -- 9 -- SweetHome3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
8 -- 3 -- Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_bc -- 5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_bc -- 6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_gc -- 5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_gc -- 6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_nc -- 5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9_nc -- 6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f -- 10 -- RecursiveBinaryToDecimal,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f -- 16 -- YesNo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
f -- 8 -- isPalindrome,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
