"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_1_main1.java","3","7","The method 'main1(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_20_main20.java","3","7","The method 'main20(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_21_main21.java","3","8","The method 'main21(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_22_main22.java","3","8","The method 'main22(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_23_main23.java","3","7","The method 'main23(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_2_main2.java","3","7","The method 'main2(String[])' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_3_main3.java","3","9","The method 'main3(int, int)' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_4_main4.java","3","7","The method 'main4(String[])' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_5_main5.java","3","6","The method 'main5(String[])' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_6_main6.java","3","7","The method 'main6(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_7_main7.java","3","7","The method 'main7(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_8_main8.java","3","7","The method 'main8(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_1","../ml_model/src/main/resources/snippet_splitter_out/ds_1/ds_1_snip_9_main9.java","3","7","The method 'main9(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_10_main20.java","3","7","The method 'main20(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_11_main21.java","3","8","The method 'main21(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_12_main22.java","3","8","The method 'main22(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_1_main1.java","3","7","The method 'main1(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_2_main2.java","3","7","The method 'main2(String[])' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_3_main7.java","3","7","The method 'main7(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_4_main8.java","3","7","The method 'main8(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_5_main10.java","3","7","The method 'main10(String[])' has a cyclomatic complexity of 7.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_6_main11.java","3","8","The method 'main11(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_7_main13.java","3","6","The method 'main13(String[])' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_8_main14.java","3","8","The method 'main14(String[])' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_2","../ml_model/src/main/resources/snippet_splitter_out/ds_2/ds_2_snip_9_main17.java","3","7","The method 'main17(String[])' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_100_Date.java","3","7","The method 'Date()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_10_link.java","3","6","The method 'link(IndexRowIterator)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_11_s45.java","3","7","The method 's45()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_12_getGlobal.java","3","11","The method 'getGlobal(Interpreter)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_13_readData.java","3","14","The method 'readData(ObjectInputStream)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_14_close.java","3","6","The method 'close()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_15_actionPerformed.java","3","7","The method 'actionPerformed(ActionEvent)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_16_getBaseName.java","3","7","The method 'getBaseName(String)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_17_s52.java","3","7","The method 's52()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_18_s53.java","3","7","The method 's53()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_19_s54.java","3","7","The method 's54()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_1_ComparisonCompactor.java","3","12","The method 'ComparisonCompactor(int, String, String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_20_s55.java","3","7","The method 's55()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_21_swap.java","3","8","The method 'swap(NameSpace)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_22_s57.java","3","7","The method 's57()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_23_s58.java","3","7","The method 's58()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_24_isReadOnly.java","3","7","The method 'isReadOnly()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_25_s60.java","3","7","The method 's60()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_26_s61.java","3","7","The method 's61()' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_27_s62.java","3","7","The method 's62()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_28_getDescription.java","3","8","The method 'getDescription()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_29_s64.java","3","7","The method 's64()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_2_s34.java","3","7","The method 's34()' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_30_s65.java","3","7","The method 's65()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_31_s66.java","3","7","The method 's66()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_32_addZero.java","3","13","The method 'addZero(int)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_33_run.java","3","8","The method 'run(RunNotifier)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_34_s69.java","3","7","The method 's69()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","FeatureExtraction.snippet_splitter_out","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_35_DisbandUnitAction.java","3","5","The constructor 'DisbandUnitAction(FreeColClient)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_36_mousePressed.java","3","8","The method 'mousePressed(MouseEvent)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_37_getASMModifiers.java","3","7","The method 'getASMModifiers(Modifiers)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_38_getListCellRendererComponent.java","3","5","The method 'getListCellRendererComponent(JList, Object, int, boolean, boolean)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_39_compact.java","3","6","The method 'compact(String)' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_3_s36.java","3","6","The method 's36()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_40_s74.java","3","7","The method 's74()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_41_loadColorChip.java","3","14","The method 'loadColorChip(GraphicsConfiguration, Color)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_42_s76.java","3","7","The method 's76()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","FeatureExtraction.snippet_splitter_out","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_43_TestClassRunnerForParameters.java","3","5","The constructor 'TestClassRunnerForParameters(Class<?>, Object[], int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_44_s77.java","3","7","The method 's77()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_45_getAnnotatedClasses.java","3","8","The method 'getAnnotatedClasses(Class<?>)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_46_s79.java","3","7","The method 's79()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_47_returnToTitle.java","3","8","The method 'returnToTitle()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","FeatureExtraction.snippet_splitter_out","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_48_ComparisonFailure.java","3","5","The constructor 'ComparisonFailure(String, String, String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_49_importPackage.java","3","8","The method 'importPackage(String)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_4_s37.java","3","6","The method 's37()' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_50_s82.java","3","7","The method 's82()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_51_filter2.java","3","6","The method 'filter2(Filter)' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_52_s84.java","3","7","The method 's84()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_53_addMessage.java","3","12","The method 'addMessage(GUIMessage)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_54_jjCanMove_1.java","3","7","The method 'jjCanMove_1(int, int, int, long, long)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_55_correctTimeZone.java","3","7","The method 'correctTimeZone(Date)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_56_getMessage.java","3","8","The method 'getMessage()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_57_getStateString.java","3","7","The method 'getStateString()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_58_displayTileCursor.java","3","7","The method 'displayTileCursor(Tile, int, int)' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_59_jjMoveStringLiteralDfa18_0.java","3","7","The method 'jjMoveStringLiteralDfa18_0(long, long, long, long)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_5_expectedException.java","3","7","The method 'expectedException(Method)' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_60_getAvailableChannels.java","3","12","The method 'getAvailableChannels()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_61_getParametersMethod.java","3","8","The method 'getParametersMethod()' has a cyclomatic complexity of 6.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_62_s94.java","3","7","The method 's94()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_63_s95.java","3","7","The method 's95()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_64_actionPerformed2.java","3","12","The method 'actionPerformed2(ActionEvent)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_65_getButtonAction.java","3","7","The method 'getButtonAction()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"2","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_65_getButtonAction.java","3","11","The method 'actionPerformed(ActionEvent)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_66_s98.java","3","7","The method 's98()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_67_s99.java","3","7","The method 's99()' has a cyclomatic complexity of 7.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_68_purgeOldMessagesFromMessagesToIgnore.java","3","8","The method 'purgeOldMessagesFromMessagesToIgnore(int)' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_69_s1.java","3","6","The method 's1()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_6_s39.java","3","6","The method 's39()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_70_s2.java","3","6","The method 's2()' has a cyclomatic complexity of 4.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_71_compactString.java","3","6","The method 'compactString(String)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_72_Grantee.java","3","15","The method 'Grantee(String, Grantee, GranteeManager)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_73_quit.java","3","7","The method 'quit()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_74_s6.java","3","7","The method 's6()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_75_Date.java","3","11","The method 'Date(int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_76_TestMethodRunner.java","3","7","The method 'TestMethodRunner(Object, Method, RunNotifier, Description)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_77_getDatabaseURIs.java","3","8","The method 'getDatabaseURIs()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_78_moveUnit.java","3","7","The method 'moveUnit(KeyEvent)' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_79_s11.java","3","6","The method 's11()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_7_deliverGift.java","3","13","The method 'deliverGift(Element)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_80_s12.java","3","6","The method 's12()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_81_assertEquals.java","3","10","The method 'assertEquals(String, Object, Object)' has a cyclomatic complexity of 8.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_82_removeName.java","3","7","The method 'removeName(String)' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_83_s15.java","3","7","The method 's15()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_84_s16.java","3","6","The method 's16()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_85_s17.java","3","6","The method 's17()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_86_runMain.java","3","8","The method 'runMain(String[])' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_87_Constraint.java","3","10","The method 'Constraint(HsqlName, int[], Table, int[], int, int, int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_88_s20.java","3","7","The method 's20()' has a cyclomatic complexity of 2.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_89_s21.java","3","6","The method 's21()' has a cyclomatic complexity of 3.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_8_s41.java","3","7","The method 's41()' has a cyclomatic complexity of 6.","Design","CyclomaticComplexity"
"1","snippet_splitter_out.ds_3","../ml_model/src/main/resources/snippet_splitter_out/ds_3/ds_3_snip_90_createSettingsPanel.java","3","11","The method 'createSettingsPanel()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
